id,left_id,left_nama,left_alamat,right_id,right_nama,right_alamat,jaccard,label
90,147,asmara spikoe,kalilom lor timur 1b 5 60129,3213,asmara spikoe,kalilom lor timur gg ib 5 tanah kali kedinding kenjeran 60129,0.708333333,1
91,1380,mixue ice cream tea dharmawangsa,dharmawangsa 82a airlangga gubeng 60286,3326,mixue dharmawangsa,dharmawangsa 82a airlangga gubeng 60286,0.7,1
92,1415,mixue ice cream tea kapasan,kapasan 210b sidodadi simokerto 60141,3286,mixue kapasan,kapasan 210b sidodadi simokerto 60141,0.7,1
93,1407,mixue ice cream tea margorejo,margorejo indah 8 jemur wonosari wonocolo 60238,3298,mixue margorejo,margorejo indah 8 jemur wonosari wonocolo 60238,0.7,1
94,1424,mixue ice cream tea bronggalan,bronggalan 10a pacar kembang tambaksari 60133,3282,mixue bronggalan,bronggalan 10a pacar kembang tambaksari 60133,0.7,1
95,1410,mixue ice cream tea jemursari,raya jemursari 329 prapen tenggilis mejoyo 60299,3293,mixue jemursari,raya jemursari 329 prapen tenggilis mejoyo 60299,0.7,1
96,1417,mixue ice cream tea kalijudan,kalijudan 42 rw 02 kalijudan mulyorejo 60114,3284,mixue kalijudan,kalijudan 42 rw 02 kalijudan mulyorejo 60114,0.7,1
97,1373,wendy s galaxy mall surabaya,galaxy mall 2 dharmahusada indah timur 35 37 mulyorejo mulyorejo 60115,2929,wendy s,galaxy mall 2 dharmahusada indah timur 35 37 mulyorejo mulyorejo 60115,0.7,1
98,980,orlando pizza surabaya,bulak rukem timur 2f 31 bulak bulak 60124,3227,orlando pizza surabaya,bulak rukem timur 1 1 2 depan makam bulak 60124,0.7,1
99,1413,mixue ice cream tea kranggan,kranggan 27 rt 006 rw 09 sawahan sawahan 60251,3290,mixue kranggan,kranggan 27 rt 006 rw 09 sawahan sawahan 60251,0.7,1
100,1422,mixue ice cream tea siwalankerto,siwalankerto 8 aa4 60234,3278,mixue siwalankerto,siwalankerto 8 aa4 60234,0.7,1
101,1392,mixue ice cream tea klampis,klampis jaya 25c klampis ngasem sukolilo 60116,3314,mixue klampis,klampis jaya 25c klampis ngasem sukolilo 60116,0.7,1
102,1395,mixue ice cream tea ambengan,ambengan 22 ketabang genteng 60272,3310,mixue ambengan,ambengan 22 ketabang genteng 60272,0.7,1
103,1261,outlet maxx coffee siloam surabaya,lobby rs siloam raya gubeng 70 gubeng gubeng 60281,2174,maxx coffee,lobby rs siloam raya gubeng 70 gubeng gubeng 60281,0.7,1
104,1378,mixue ice cream tea merr,dr ir h soekarno 416 a kedung baruk rungkut 60298,3328,mixue merr,dr ir h soekarno 416 a kedung baruk rungkut 60298,0.7,1
105,633,js pizza,genteng sidomulyo 11 rt 3 rw 6 genteng genteng,3199,js pizza,genteng sidomulyo 11 genteng genteng 60275,0.6875,1
106,1240,wong jowo,prima kebraon 5 24 kebraon karangpilang,3257,wong jowo minuman herbal,prima kebraon 5 24 kebraon karangpilang 60222,0.666666667,1
107,125,ananda lapis dan bolu gulung surabaya,jetis kulon 6 27 wonokromo wonokromo,3217,bolu gulung surabaya,jetis kulon 6 27 wonokromo wonokromo 60243,0.666666667,1
108,318,cookies kingdom,raya wiguna tengah 40,3205,cookies kingdom,ry wiguna tengah 40 gn anyar tambak gn anyar 60294,0.666666667,1
109,1353,yoshinoya plaza surabaya,plaza pemuda 33 37 embong kaliasin genteng 60271,1428,yoshinoya,plaza pemuda 33 37 embong kaliasin genteng 60271,0.666666667,1
110,1365,wingstop intiland surabaya,lidah wetan lakarsantri bukit darmo boulevard 22 babatan wiyung 60225,1575,wingstop,lidah wetan lakarsantri bukit darmo boulevard 22 babatan wiyung 60225,0.666666667,1
111,425,d toekoe,semampir selatan 1 b 19 a medokan semampir sukolilo 60119,3221,d toekoe,semampir sel ib 19a medokan semampir sukolilo 60119,0.666666667,1
112,1349,solaria plaza surabaya,plaza solaria delta pemuda embong kaliasin genteng 60271,2904,solaria,plaza solaria delta pemuda embong kaliasin genteng 60271,0.666666667,1
113,1183,slash coffee company,keputih gg 3 b 82 sukolilo keputih sukolilo,3250,slash coffee company,keputih makam a 3 keputih sukolilo 60111,0.666666667,1
114,1246,chatime ciputra world,pasar wonokitri lantai lg 45 ciputra world mayjen sungkono gn sari dukuhpakis 60224,3018,chatime,pasar wonokitri lantai lg 45 ciputra world mayjen sungkono gn sari dukuhpakis 60224,0.666666667,1
115,1124,serabi nyototenan,wisma tengger 5 17 kandangan benowo 60199,3229,serabi solo nyototenan â œny yuliantiâ,wisma tengger 5 17 kandangan benowo 60199,0.666666667,1
